h,exponent,architecture,num_parameters,dimension_computed,ambient_dimension,is_full_dimension,is_minimal,expected_dimension,defect_expected,defect_ambient,backend,primes,elapsed_seconds,status,covered_by_mfa,shrunk_hidden_layers,is_unimodal,defect,d0,dh,r
2.0,4.0,"[3, 9, 3]",54.0,45.0,45.0,True,True,45,,,,,,,,,True,0.0,3,3,4
2.0,4.0,"[3, 10, 4]",70.0,60.0,60.0,True,True,60,,,,,,,,,True,0.0,3,4,4
2.0,4.0,"[3, 11, 5]",88.0,75.0,75.0,True,True,75,,,,,,,,,True,0.0,3,5,4
2.0,4.0,"[3, 12, 6]",108.0,90.0,90.0,True,True,90,,,,,,,,,True,0.0,3,6,4
2.0,4.0,"[3, 12, 7]",120.0,105.0,105.0,True,True,105,,,,,,,,,True,0.0,3,7,4
2.0,4.0,"[3, 12, 8]",132.0,120.0,120.0,True,True,120,,,,,,,,,True,0.0,3,8,4
2.0,4.0,"[3, 13, 9]",156.0,135.0,135.0,True,True,135,,,,,,,,,True,0.0,3,9,4
2.0,4.0,"[4, 10, 1]",50.0,35.0,35.0,True,True,35,,,,,,,,,True,0.0,4,1,4
2.0,4.0,"[4, 14, 2]",84.0,70.0,70.0,True,True,70,,,,,,,,,True,0.0,4,2,4
2.0,4.0,"[4, 18, 3]",126.0,105.0,105.0,True,True,105,,,,,,,,,True,0.0,4,3,4
2.0,4.0,"[4, 20, 4]",160.0,140.0,140.0,True,True,140,,,,,,,,,True,0.0,4,4,4
2.0,4.0,"[4, 22, 5]",198.0,175.0,175.0,True,True,175,,,,,,,,,True,0.0,4,5,4
2.0,4.0,"[4, 24, 6]",240.0,210.0,210.0,True,True,210,,,,,,,,,True,0.0,4,6,4
2.0,4.0,"[4, 25, 7]",275.0,245.0,245.0,True,True,245,,,,,,,,,True,0.0,4,7,4
2.0,4.0,"[4, 26, 8]",312.0,280.0,280.0,True,True,280,,,,,,,,,True,0.0,4,8,4
2.0,4.0,"[4, 27, 9]",351.0,315.0,315.0,True,True,315,,,,,,,,,True,0.0,4,9,4
2.0,4.0,"[5, 15, 1]",90.0,70.0,70.0,True,True,70,,,,,,,,,True,0.0,5,1,4
2.0,4.0,"[5, 24, 2]",168.0,140.0,140.0,True,True,140,,,,,,,,,True,0.0,5,2,4
2.0,4.0,"[5, 30, 3]",240.0,210.0,210.0,True,True,210,,,,,,,,,True,0.0,5,3,4
2.0,4.0,"[5, 35, 4]",315.0,280.0,280.0,True,True,280,,,,,,,,,True,0.0,5,4,4
2.0,4.0,"[5, 39, 5]",390.0,350.0,350.0,True,True,350,,,,,,,,,True,0.0,5,5,4
2.0,4.0,"[5, 42, 6]",462.0,420.0,420.0,True,True,420,,,,,,,,,True,0.0,5,6,4
2.0,4.0,"[5, 45, 7]",540.0,490.0,490.0,True,True,490,,,,,,,,,True,0.0,5,7,4
2.0,4.0,"[5, 47, 8]",611.0,560.0,560.0,True,True,560,,,,,,,,,True,0.0,5,8,4
2.0,4.0,"[6, 21, 1]",147.0,126.0,126.0,True,True,126,,,,,,,,,True,0.0,6,1,4
2.0,4.0,"[7, 30, 1]",240.0,210.0,210.0,True,True,210,,,,,,,,,True,0.0,7,1,4
2.0,4.0,"[7, 53, 2]",477.0,420.0,420.0,True,True,420,,,,,,,,,True,0.0,7,2,4
2.0,4.0,"[8, 42, 1]",378.0,330.0,330.0,True,True,330,,,,,,,,,True,0.0,8,1,4
2.0,4.0,"[9, 55, 1]",550.0,495.0,495.0,True,True,495,,,,,,,,,True,0.0,9,1,4
2.0,5.0,"[1, 1, 1]",2.0,1.0,1.0,True,True,1,,,,,,,,,True,0.0,1,1,5
2.0,5.0,"[1, 1, 2]",3.0,2.0,2.0,True,True,2,,,,,,,,,True,0.0,1,2,5
2.0,5.0,"[1, 1, 3]",4.0,3.0,3.0,True,True,3,,,,,,,,,True,0.0,1,3,5
2.0,5.0,"[1, 1, 4]",5.0,4.0,4.0,True,True,4,,,,,,,,,True,0.0,1,4,5
2.0,5.0,"[1, 1, 5]",6.0,5.0,5.0,True,True,5,,,,,,,,,True,0.0,1,5,5
2.0,5.0,"[1, 1, 6]",7.0,6.0,6.0,True,True,6,,,,,,,,,True,0.0,1,6,5
2.0,5.0,"[1, 1, 7]",8.0,7.0,7.0,True,True,7,,,,,,,,,True,0.0,1,7,5
2.0,5.0,"[1, 1, 8]",9.0,8.0,8.0,True,True,8,,,,,,,,,True,0.0,1,8,5
2.0,5.0,"[1, 1, 9]",10.0,9.0,9.0,True,True,9,,,,,,,,,True,0.0,1,9,5
2.0,5.0,"[2, 3, 1]",9.0,6.0,6.0,True,True,6,,,,,,,,,True,0.0,2,1,5
2.0,5.0,"[2, 4, 2]",16.0,12.0,12.0,True,True,12,,,,,,,,,True,0.0,2,2,5
2.0,5.0,"[2, 5, 3]",25.0,18.0,18.0,True,True,18,,,,,,,,,True,0.0,2,3,5
2.0,5.0,"[2, 5, 4]",30.0,24.0,24.0,True,True,24,,,,,,,,,True,0.0,2,4,5
2.0,5.0,"[2, 5, 5]",35.0,30.0,30.0,True,True,30,,,,,,,,,True,0.0,2,5,5
2.0,5.0,"[2, 6, 6]",48.0,36.0,36.0,True,True,36,,,,,,,,,True,0.0,2,6,5
2.0,5.0,"[2, 6, 7]",54.0,42.0,42.0,True,True,42,,,,,,,,,True,0.0,2,7,5
2.0,5.0,"[2, 6, 8]",60.0,48.0,48.0,True,True,48,,,,,,,,,True,0.0,2,8,5
2.0,5.0,"[2, 6, 9]",66.0,54.0,54.0,True,True,54,,,,,,,,,True,0.0,2,9,5
2.0,5.0,"[3, 7, 1]",28.0,21.0,21.0,True,True,21,,,,,,,,,True,0.0,3,1,5
2.0,5.0,"[3, 11, 2]",55.0,42.0,42.0,True,True,42,,,,,,,,,True,0.0,3,2,5
2.0,5.0,"[3, 13, 3]",78.0,63.0,63.0,True,True,63,,,,,,,,,True,0.0,3,3,5
2.0,5.0,"[3, 14, 4]",98.0,84.0,84.0,True,True,84,,,,,,,,,True,0.0,3,4,5
2.0,5.0,"[3, 15, 5]",120.0,105.0,105.0,True,True,105,,,,,,,,,True,0.0,3,5,5
2.0,5.0,"[3, 16, 6]",144.0,126.0,126.0,True,True,126,,,,,,,,,True,0.0,3,6,5
2.0,5.0,"[3, 17, 7]",170.0,147.0,147.0,True,True,147,,,,,,,,,True,0.0,3,7,5
2.0,5.0,"[3, 17, 8]",187.0,168.0,168.0,True,True,168,,,,,,,,,True,0.0,3,8,5
2.0,5.0,"[3, 18, 9]",216.0,189.0,189.0,True,True,189,,,,,,,,,True,0.0,3,9,5
2.0,5.0,"[4, 14, 1]",70.0,56.0,56.0,True,True,56,,,,,,,,,True,0.0,4,1,5
2.0,5.0,"[4, 23, 2]",138.0,112.0,112.0,True,True,112,,,,,,,,,True,0.0,4,2,5
2.0,5.0,"[4, 28, 3]",196.0,168.0,168.0,True,True,168,,,,,,,,,True,0.0,4,3,5
2.0,5.0,"[4, 32, 4]",256.0,224.0,224.0,True,True,224,,,,,,,,,True,0.0,4,4,5
2.0,5.0,"[4, 35, 5]",315.0,280.0,280.0,True,True,280,,,,,,,,,True,0.0,4,5,5
2.0,5.0,"[4, 38, 6]",380.0,336.0,336.0,True,True,336,,,,,,,,,True,0.0,4,6,5
2.0,5.0,"[4, 40, 7]",440.0,392.0,392.0,True,True,392,,,,,,,,,True,0.0,4,7,5
2.0,5.0,"[4, 41, 8]",492.0,448.0,448.0,True,True,448,,,,,,,,,True,0.0,4,8,5
2.0,5.0,"[4, 42, 9]",546.0,504.0,504.0,True,True,504,,,,,,,,,True,0.0,4,9,5
2.0,5.0,"[5, 26, 1]",156.0,126.0,126.0,True,True,126,,,,,,,,,True,0.0,5,1,5
2.0,5.0,"[5, 42, 2]",294.0,252.0,252.0,True,True,252,,,,,,,,,True,0.0,5,2,5
2.0,5.0,"[5, 54, 3]",432.0,378.0,378.0,True,True,378,,,,,,,,,True,0.0,5,3,5
