h,exponent,architecture,num_parameters,dimension_computed,ambient_dimension,is_full_dimension,is_minimal,expected_dimension,defect_expected,defect_ambient,backend,primes,elapsed_seconds,status,covered_by_mfa,is_unimodal,shrunk_hidden_layers,defect,d0,dh,r
3.0,2.0,"[8, 20, 14, 1]",454.0,329.0,330.0,False,False,330,,,,,,,,True,,1.0,8,1,2
3.0,5.0,"[3, 14, 23, 1]",387.0,350.0,351.0,False,False,350,,,,,,,,True,,0.0,3,1,5
3.0,5.0,"[3, 10, 33, 1]",393.0,350.0,351.0,False,False,350,,,,,,,,True,,0.0,3,1,5
3.0,5.0,"[3, 7, 48, 1]",405.0,350.0,351.0,False,False,350,,,,,,,,True,,0.0,3,1,5
3.0,7.0,"[2, 7, 28, 8]",434.0,399.0,400.0,False,False,399,,,,,,,,True,,0.0,2,8,7
3.0,8.0,"[2, 4, 45, 7]",503.0,454.0,455.0,False,False,454,,,,,,,,True,,0.0,2,7,8
3.0,8.0,"[2, 8, 36, 9]",628.0,584.0,585.0,False,False,584,,,,,,,,True,,0.0,2,9,8
3.0,6.0,"[3, 18, 37, 1]",757.0,702.0,703.0,False,False,702,,,,,,,,True,,0.0,3,1,6
3.0,6.0,"[3, 13, 52, 1]",767.0,702.0,703.0,False,False,702,,,,,,,,True,,0.0,3,1,6
3.0,6.0,"[3, 9, 76, 1]",787.0,702.0,703.0,False,False,702,,,,,,,,True,,0.0,3,1,6
3.0,3.0,"[5, 21, 30, 1]",765.0,714.0,715.0,False,False,714,,,,,,,,True,,0.0,5,1,3
3.0,3.0,"[5, 17, 38, 1]",769.0,714.0,715.0,False,False,714,0.0,1.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",1.2370584000000235,maximal_subarchitecture_of_recorded_mfa,"[[5, 17, 39, 1], [5, 18, 38, 1]]",True,"[1, 2]",0.0,5,1,3
3.0,7.0,"[3, 26, 47, 1]",1347.0,1274.0,1275.0,False,False,1274,,,,,,,,True,,0.0,3,1,7
3.0,7.0,"[3, 14, 89, 1]",1377.0,1274.0,1275.0,False,False,1274,,,,,,,,True,,0.0,3,1,7
3.0,7.0,"[3, 13, 96, 1]",1383.0,1274.0,1275.0,False,False,1274,,,,,,,,True,,0.0,3,1,7
3.0,7.0,"[3, 7, 180, 1]",1461.0,1274.0,1275.0,False,False,1274,,,,,,,,True,,0.0,3,1,7
3.0,3.0,"[6, 29, 64, 1]",2094.0,2001.0,2002.0,False,False,2001,,,,,,,,True,,0.0,6,1,3
3.0,3.0,"[6, 23, 82, 1]",2106.0,2001.0,2002.0,False,False,2001,,,,,,,,True,,0.0,6,1,3
3.0,6.0,"[3, 22, 86, 3]",2216.0,2108.0,2109.0,False,False,2108,,,,,,,,True,,0.0,3,3,6
3.0,6.0,"[3, 20, 94, 3]",2222.0,2108.0,2109.0,False,False,2108,,,,,,,,True,,0.0,3,3,6
3.0,6.0,"[3, 14, 130, 3]",2252.0,2108.0,2109.0,False,False,2108,,,,,,,,True,,0.0,3,3,6
3.0,8.0,"[3, 32, 65, 1]",2241.0,2144.0,2145.0,False,False,2144,,,,,,,,True,,0.0,3,1,8
3.0,8.0,"[3, 16, 132, 1]",2292.0,2144.0,2145.0,False,False,2144,,,,,,,,True,,0.0,3,1,8
3.0,8.0,"[3, 8, 266, 1]",2418.0,2144.0,2145.0,False,False,2144,,,,,,,,True,,0.0,3,1,8
3.0,3.0,"[7, 36, 133, 1]",5173.0,5004.0,5005.0,False,False,5004,,,,,,,,True,,0.0,7,1,3
4.0,1.0,"[2, 1, 2, 1, 2]",8.0,3.0,4.0,False,False,4,,,,,,,,False,,1.0,2,2,1
4.0,1.0,"[2, 1, 1, 2, 2]",9.0,3.0,4.0,False,False,4,,,,,,,,False,,1.0,2,2,1
4.0,1.0,"[2, 2, 1, 2, 2]",12.0,3.0,4.0,False,False,4,,,,,,,,False,,1.0,2,2,1
4.0,1.0,"[2, 2, 2, 1, 2]",12.0,3.0,4.0,False,False,4,,,,,,,,False,,1.0,2,2,1
4.0,1.0,"[2, 1, 2, 2, 2]",12.0,3.0,4.0,False,False,4,,,,,,,,False,,1.0,2,2,1
4.0,3.0,"[2, 3, 4, 4, 1]",38.0,27.0,28.0,False,False,27,0.0,1.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.0554882000001271,nonfilling,"[[3, 4, 5], [4, 4, 4]]",True,,0.0,2,1,3
4.0,2.0,"[2, 3, 4, 5, 5]",63.0,44.0,45.0,False,False,45,1.0,1.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.2310683999999128,maximal_subarchitecture_of_recorded_mfa,"[[2, 3, 4, 6, 5], [2, 3, 5, 5, 5]]",True,"[2, 3]",1.0,2,5,2
4.0,2.0,"[2, 17, 4, 5, 5]",147.0,44.0,45.0,False,False,45,,,,,,,,False,,1.0,2,5,2
4.0,2.0,"[2, 18, 4, 5, 5]",153.0,44.0,45.0,False,False,45,,,,,,,,False,,1.0,2,5,2
4.0,3.0,"[2, 3, 5, 7, 2]",70.0,55.0,56.0,False,False,55,,,,,,,,True,,0.0,2,2,3
4.0,3.0,"[2, 26, 15, 5, 2]",527.0,55.0,56.0,False,False,56,,,,,,,,True,,1.0,2,2,3
4.0,3.0,"[2, 28, 15, 5, 2]",561.0,55.0,56.0,False,False,56,,,,,,,,True,,1.0,2,2,3
4.0,3.0,"[2, 30, 16, 5, 2]",630.0,55.0,56.0,False,False,56,,,,,,,,True,,1.0,2,2,3
4.0,3.0,"[2, 26, 19, 5, 2]",651.0,55.0,56.0,False,False,56,,,,,,,,True,,1.0,2,2,3
4.0,3.0,"[2, 18, 29, 5, 2]",713.0,55.0,56.0,False,False,56,,,,,,,,True,,1.0,2,2,3
4.0,3.0,"[2, 24, 25, 5, 2]",783.0,55.0,56.0,False,False,56,,,,,,,,True,,1.0,2,2,3
4.0,3.0,"[2, 24, 30, 5, 2]",928.0,55.0,56.0,False,False,56,,,,,,,,True,,1.0,2,2,3
4.0,3.0,"[2, 30, 27, 5, 2]",1015.0,55.0,56.0,False,False,56,,,,,,,,True,,1.0,2,2,3
4.0,3.0,"[2, 28, 29, 5, 2]",1023.0,55.0,56.0,False,False,56,,,,,,,,True,,1.0,2,2,3
4.0,3.0,"[2, 27, 30, 5, 2]",1024.0,55.0,56.0,False,False,56,,,,,,,,True,,1.0,2,2,3
4.0,3.0,"[2, 30, 28, 5, 2]",1050.0,55.0,56.0,False,False,56,,,,,,,,True,,1.0,2,2,3
4.0,3.0,"[2, 29, 30, 5, 2]",1088.0,55.0,56.0,False,False,56,,,,,,,,True,,1.0,2,2,3
4.0,3.0,"[2, 30, 30, 5, 2]",1120.0,55.0,56.0,False,False,56,,,,,,,,True,,1.0,2,2,3
4.0,4.0,"[2, 4, 6, 7, 1]",81.0,64.0,65.0,False,False,64,,,,,,,,True,,0.0,2,1,4
4.0,4.0,"[2, 4, 5, 9, 1]",82.0,64.0,65.0,False,False,64,,,,,,,,True,,0.0,2,1,4
4.0,4.0,"[2, 21, 8, 4, 1]",246.0,64.0,65.0,False,False,65,,,,,,,,True,,1.0,2,1,4
4.0,4.0,"[2, 23, 8, 4, 1]",266.0,64.0,65.0,False,False,65,,,,,,,,True,,1.0,2,1,4
4.0,4.0,"[2, 24, 8, 4, 1]",276.0,64.0,65.0,False,False,65,,,,,,,,True,,1.0,2,1,4
4.0,4.0,"[2, 26, 8, 4, 1]",296.0,64.0,65.0,False,False,65,,,,,,,,True,,1.0,2,1,4
4.0,4.0,"[2, 27, 8, 4, 1]",306.0,64.0,65.0,False,False,65,,,,,,,,True,,1.0,2,1,4
4.0,4.0,"[2, 29, 8, 4, 1]",326.0,64.0,65.0,False,False,65,,,,,,,,True,,1.0,2,1,4
4.0,4.0,"[2, 30, 8, 4, 1]",336.0,64.0,65.0,False,False,65,,,,,,,,True,,1.0,2,1,4
4.0,4.0,"[2, 31, 8, 4, 1]",346.0,64.0,65.0,False,False,65,,,,,,,,True,,1.0,2,1,4
4.0,4.0,"[2, 32, 8, 4, 1]",356.0,64.0,65.0,False,False,65,,,,,,,,True,,1.0,2,1,4
4.0,2.0,"[3, 5, 7, 7, 2]",113.0,89.0,90.0,False,False,90,1.0,1.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.1591206000002785,maximal_subarchitecture_of_recorded_mfa,"[[3, 6, 7, 7, 2]]",True,[1],1.0,3,2,2
4.0,2.0,"[3, 5, 7, 9, 2]",131.0,89.0,90.0,False,False,90,,,,,,,,True,,1.0,3,2,2
4.0,2.0,"[3, 5, 7, 12, 2]",158.0,89.0,90.0,False,False,90,,,,,,,,True,,1.0,3,2,2
4.0,5.0,"[2, 5, 12, 6, 1]",148.0,125.0,126.0,False,False,125,,,,,,,,True,,0.0,2,1,5
4.0,5.0,"[2, 4, 11, 8, 1]",148.0,125.0,126.0,False,False,125,,,,,,,,True,,0.0,2,1,5
4.0,5.0,"[2, 5, 10, 8, 1]",148.0,125.0,126.0,False,False,125,,,,,,,,True,,0.0,2,1,5
4.0,5.0,"[2, 5, 8, 11, 1]",149.0,125.0,126.0,False,False,125,,,,,,,,True,,0.0,2,1,5
4.0,5.0,"[2, 5, 6, 16, 1]",152.0,125.0,126.0,False,False,125,,,,,,,,True,,0.0,2,1,5
